Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),October` 2023 - Program - Col (3),October` 2023 - Actual - Col (4),October` 2023 - Actual Same Month 2022-23 - Col (5),October` 2023 - % of Program Col. (4/3) - Col (6),October` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to October` 2023 - Program - Col (8),April` 2023 to October` 2023 - Actual - Col (9),April` 2023 to October` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to October` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to October` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - October` 2023 - Program - Col (13),Plant Load Factor (%) - October` 2023 - Actual - Col (14),Plant Load Factor (%) - October` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to October` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to October` 2023 - Actual Same Peroid 2022-23 - Col (18)
688,Southern Region,Tamil Nadu,State Sector,KOVIKALPAL CCPP,NA,107.88,200,15,0,10.49,0,0,119,47.27,92.14,39.72,51.3,NA,NA,NA,NA,NA,NA
689,Southern Region,Tamil Nadu,State Sector,KUTTALAM CCPP,NA,100,450,26,58.31,50.32,224.27,115.88,258,392.64,272.75,152.19,143.96,NA,NA,NA,NA,NA,NA
690,Southern Region,Tamil Nadu,State Sector,VALUTHUR CCPP,NA,186.2,1250,106,103.56,106.05,97.7,97.65,716,734.39,667.36,102.57,110.04,NA,NA,NA,NA,NA,NA
691,Southern Region,Tamil Nadu,State Sector,TANGEDCO,Natural Gas,514.08,1900,147,161.87,166.86,110.12,97.01,1093,1174.3,1033.08,107.44,113.67,NA,NA,NA,NA,NA,NA
692,Southern Region,Tamil Nadu,State Sector,State Sector,Natural Gas,514.08,1900,147,161.87,166.86,110.12,97.01,1093,1174.3,1033.08,107.44,113.67,NA,NA,NA,NA,NA,NA
693,Southern Region,Tamil Nadu,State Sector,ALIYAR HPS,NA,60,130,11,13.28,13.41,120.73,99.03,71,70.46,111.3,99.24,63.31,NA,NA,NA,NA,NA,NA
694,Southern Region,Tamil Nadu,State Sector,BHAWANI BARRAGE-II HPS,NA,30,68,13,9.02,9.83,69.38,91.76,46,45.68,53.84,99.3,84.84,NA,NA,NA,NA,NA,NA
695,Southern Region,Tamil Nadu,State Sector,BHAWANI BARRAGE-III HPS,NA,30,68,13,0,9.05,0,0,46,31.01,39.53,67.41,78.45,NA,NA,NA,NA,NA,NA
696,Southern Region,Tamil Nadu,State Sector,BHAWANI KATTAL,NA,30,36,8,0,9.35,0,0,25,77.5,49.07,310,157.94,NA,NA,NA,NA,NA,NA
697,Southern Region,Tamil Nadu,State Sector,KADAMPARI HPS,NA,400,378,40,0,37.94,0,0,208,44.47,98.07,21.38,45.35,NA,NA,NA,NA,NA,NA
698,Southern Region,Tamil Nadu,State Sector,KODAYAR-I HPS,NA,60,10,0,20.71,23.42,0,88.43,0,44.04,142.65,0,30.87,NA,NA,NA,NA,NA,NA
699,Southern Region,Tamil Nadu,State Sector,KODAYAR-II HPS,NA,40,65,8,0,9.73,0,0,33,6.91,58.83,20.94,11.75,NA,NA,NA,NA,NA,NA
700,Southern Region,Tamil Nadu,State Sector,KUNDAH-I HPS,NA,60,212,18,24.59,22.79,136.61,107.9,132,160.58,136.17,121.65,117.93,NA,NA,NA,NA,NA,NA
701,Southern Region,Tamil Nadu,State Sector,KUNDAH-II HPS,NA,175,500,48,62.16,60.82,129.5,102.2,296,414.65,415.42,140.08,99.81,NA,NA,NA,NA,NA,NA
702,Southern Region,Tamil Nadu,State Sector,KUNDAH-III HPS,NA,180,331,28,37.54,38.76,134.07,96.85,206,251.66,260.51,122.17,96.6,NA,NA,NA,NA,NA,NA
703,Southern Region,Tamil Nadu,State Sector,KUNDAH-IV HPS,NA,100,150,13,9.89,10.95,76.08,90.32,90,65.81,123.59,73.12,53.25,NA,NA,NA,NA,NA,NA
704,Southern Region,Tamil Nadu,State Sector,KUNDAH-V HPS,NA,40,40,4,9.84,4.12,246,238.83,25,58.5,30.91,234,189.26,NA,NA,NA,NA,NA,NA
705,Southern Region,Tamil Nadu,State Sector,LOWER METTUR-I HPS,NA,30,62,10,2.63,10.51,26.3,25.02,39,48.3,55.11,123.85,87.64,NA,NA,NA,NA,NA,NA
706,Southern Region,Tamil Nadu,State Sector,LOWER METTUR-II HPS,NA,30,62,10,2.55,9.84,25.5,25.91,39,47.04,51.41,120.62,91.5,NA,NA,NA,NA,NA,NA
707,Southern Region,Tamil Nadu,State Sector,LOWER METTUR-III HPS,NA,30,62,10,2.4,9.53,24,25.18,39,46.74,47.46,119.85,98.48,NA,NA,NA,NA,NA,NA
708,Southern Region,Tamil Nadu,State Sector,LOWER METTUR-IV HPS,NA,30,62,10,1.89,7.17,18.9,26.36,39,38.61,36.23,99,106.57,NA,NA,NA,NA,NA,NA
709,Southern Region,Tamil Nadu,State Sector,METTUR DAM HPS,NA,50,130,16,4.47,22.85,27.94,19.56,83,68.53,157.57,82.57,43.49,NA,NA,NA,NA,NA,NA
710,Southern Region,Tamil Nadu,State Sector,METTUR TUNNEL HPS,NA,200,301,70,0,121.89,0,0,219,139.2,573.58,63.56,24.27,NA,NA,NA,NA,NA,NA
711,Southern Region,Tamil Nadu,State Sector,MOYAR HPS,NA,36,79,6,10.86,12.33,181,88.08,52,58.17,76.4,111.87,76.14,NA,NA,NA,NA,NA,NA
712,Southern Region,Tamil Nadu,State Sector,PAPANASAM HPS,NA,32,120,12,15.56,7.77,129.67,200.26,70,41.68,73.11,59.54,57.01,NA,NA,NA,NA,NA,NA
713,Southern Region,Tamil Nadu,State Sector,PARSON`S VALLEY HPS,NA,30,40,5,6.78,5.37,135.6,126.26,26,21.91,31.56,84.27,69.42,NA,NA,NA,NA,NA,NA
714,Southern Region,Tamil Nadu,State Sector,PERIYAR HPS,NA,161,475,65,68.4,62.41,105.23,109.6,278,163.06,428.56,58.65,38.05,NA,NA,NA,NA,NA,NA
715,Southern Region,Tamil Nadu,State Sector,PYKARA HPS,NA,59.2,35,4,0,4.37,0,0,21,3.07,21.56,14.62,14.24,NA,NA,NA,NA,NA,NA
716,Southern Region,Tamil Nadu,State Sector,PYKARA ULTMATE HPS,NA,150,301,18,38.65,34.97,214.72,110.52,172,199.79,289.6,116.16,68.99,NA,NA,NA,NA,NA,NA
717,Southern Region,Tamil Nadu,State Sector,SARKARPATHY HPS,NA,30,117,15,14.41,16.07,96.07,89.67,59,33.66,58.77,57.05,57.27,NA,NA,NA,NA,NA,NA
718,Southern Region,Tamil Nadu,State Sector,SHOLAYAR HPS (TN),NA,70,300,50,33,4.82,66,684.65,182,152.34,182.59,83.7,83.43,NA,NA,NA,NA,NA,NA
719,Southern Region,Tamil Nadu,State Sector,SURULIYAR HPS,NA,35,86,10,0,0,0,0,33,1.91,0,5.79,0,NA,NA,NA,NA,NA,NA
720,Southern Region,Tamil Nadu,State Sector,TANGEDCO,Hydro,2178.2,4220,515,388.63,580.07,75.46,67,2529,2335.28,3603.4,92.34,64.81,NA,NA,NA,NA,NA,NA
721,Southern Region,Tamil Nadu,State Sector,State Sector,Hydro,2178.2,4220,515,388.63,580.07,75.46,67,2529,2335.28,3603.4,92.34,64.81,NA,NA,NA,NA,NA,NA
722,Southern Region,Tamil Nadu,Pvt Sector,MUTHIARA TPP,NA,1200,2000,114,586.26,189.28,514.26,309.73,1189,3238.82,1280.44,272.4,252.95,12.77,65.67,21.2,19.29,52.55,20.78
723,Southern Region,Tamil Nadu,Pvt Sector,CEPL,Coal,1200,2000,114,586.26,189.28,514.26,309.73,1189,3238.82,1280.44,272.4,252.95,12.77,65.67,21.2,19.29,52.55,20.78
724,Southern Region,Tamil Nadu,Pvt Sector,TUTICORIN (P) TPP,NA,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,Southern Region,Tamil Nadu,Pvt Sector,IBPIL,Coal,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,Southern Region,Tamil Nadu,Pvt Sector,ITPCL TPP,NA,1200,4000,150,710.47,171.56,473.65,414.12,2302,3908.26,1513.19,169.78,258.28,16.8,79.58,19.22,37.35,63.41,24.55
727,Southern Region,Tamil Nadu,Pvt Sector,ITPCL,Coal,1200,4000,150,710.47,171.56,473.65,414.12,2302,3908.26,1513.19,169.78,258.28,16.8,79.58,19.22,37.35,63.41,24.55
728,Southern Region,Tamil Nadu,Pvt Sector,SAMAYANALLUR DG,NA,106,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
729,Southern Region,Tamil Nadu,Pvt Sector,MADURAI P,Diesel,106,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
730,Southern Region,Tamil Nadu,Pvt Sector,SAMALPATTI DG,NA,105.7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
731,Southern Region,Tamil Nadu,Pvt Sector,SAMALPATI,Diesel,105.7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
732,Southern Region,Tamil Nadu,Pvt Sector,TUTICORIN TPP ST-IV,NA,525,2000,148,325.29,31.4,219.79,1035.96,1150,1713.63,922.46,149.01,185.77,37.89,83.28,8.04,42.65,63.55,34.21
733,Southern Region,Tamil Nadu,Pvt Sector,SEPCPPL,Coal,525,2000,148,325.29,31.4,219.79,1035.96,1150,1713.63,922.46,149.01,185.77,37.89,83.28,8.04,42.65,63.55,34.21
734,Southern Region,Tamil Nadu,Pvt Sector,NEYVELI TPS (Z),NA,250,1600,121,12.8,46.16,10.58,27.73,949,771.1,981.25,81.25,78.58,65.05,6.88,24.82,73.91,60.05,76.42
735,Southern Region,Tamil Nadu,Pvt Sector,ST-CMSECP,Coal,250,1600,121,12.8,46.16,10.58,27.73,949,771.1,981.25,81.25,78.58,65.05,6.88,24.82,73.91,60.05,76.42
736,Southern Region,Tamil Nadu,Pvt Sector,Pvt Sector,Thermal,3686.7,9600,533,1634.82,438.4,306.72,372.91,5590,9631.81,4697.34,172.3,205.05,20.62,63.23,16.96,31.32,53.97,26.32
737,Southern Region,Tamil Nadu,Pvt Sector,KARUPPUR CCPP,NA,119.8,200,16,0,2.35,0,0,118,0,55.15,0,0,NA,NA,NA,NA,NA,NA
738,Southern Region,Tamil Nadu,Pvt Sector,ABAN POWR,Natural Gas,119.8,200,16,0,2.35,0,0,118,0,55.15,0,0,NA,NA,NA,NA,NA,NA
739,Southern Region,Tamil Nadu,Pvt Sector,VALANTARVY CCPP,NA,52.8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
740,Southern Region,Tamil Nadu,Pvt Sector,PENNA,Natural Gas,52.8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
741,Southern Region,Tamil Nadu,Pvt Sector,P.NALLUR CCPP,NA,330.5,100,8,0,0,0,0,59,0,69.11,0,0,NA,NA,NA,NA,NA,NA
742,Southern Region,Tamil Nadu,Pvt Sector,PPNPGCL,Natural Gas,330.5,100,8,0,0,0,0,59,0,69.11,0,0,NA,NA,NA,NA,NA,NA
743,Southern Region,Tamil Nadu,Pvt Sector,Pvt Sector,Natural Gas,503.1,300,24,0,2.35,0,0,177,0,124.26,0,0,NA,NA,NA,NA,NA,NA
744,Southern Region,Tamil Nadu,Central Sector,NEYVELI ( EXT) TPS,NA,420,3000,228,187.12,259.68,82.07,72.06,1640,1580.08,1794.35,96.35,88.06,72.96,59.88,83.1,76.03,73.25,83.18
745,Southern Region,Tamil Nadu,Central Sector,NEYVELI NEW TPP,NA,1000,6200,147,592.09,628.88,402.78,94.15,3713,3868.42,4426.03,104.19,87.4,19.76,79.58,84.53,72.29,75.32,86.18
746,Southern Region,Tamil Nadu,Central Sector,NEYVELI TPS-II,NA,1470,9100,548,469.98,552.7,85.76,85.03,5217,3119.92,5248.29,59.8,59.45,50.11,42.97,50.54,69.1,41.32,69.51
747,Southern Region,Tamil Nadu,Central Sector,NEYVELI TPS-II EXP,NA,500,2500,205,180.35,199.89,87.98,90.22,1420,1341.77,1357.27,94.49,98.86,55.11,48.48,53.73,55.3,52.25,52.85
748,Southern Region,Tamil Nadu,Central Sector,NLC,Coal,3390,20800,1128,1429.54,1641.15,126.73,87.11,11990,9910.19,12825.94,82.65,77.27,44.72,56.68,65.07,68.86,56.92,73.67
749,Southern Region,Tamil Nadu,Central Sector,VALLUR TPP,NA,1500,9500,732,589.57,503.18,80.54,117.17,5828,5023.16,5349.4,86.19,93.9,65.59,52.83,45.09,75.65,65.2,69.44
750,Southern Region,Tamil Nadu,Central Sector,NTECL,Coal,1500,9500,732,589.57,503.18,80.54,117.17,5828,5023.16,5349.4,86.19,93.9,65.59,52.83,45.09,75.65,65.2,69.44
751,Southern Region,Tamil Nadu,Central Sector,NTPL TUTICORIN TPP,NA,1000,7000,301,662.73,491.27,220.18,134.9,3802,3274.67,3426.06,86.13,95.58,40.46,89.08,66.03,74.03,63.76,66.71
752,Southern Region,Tamil Nadu,Central Sector,NTPL,Coal,1000,7000,301,662.73,491.27,220.18,134.9,3802,3274.67,3426.06,86.13,95.58,40.46,89.08,66.03,74.03,63.76,66.71
753,Southern Region,Tamil Nadu,Central Sector,Central,Thermal,5890,37300,2161,2681.84,2635.6,124.1,101.75,21620,18208.02,21601.4,84.22,84.29,49.31,61.2,60.14,71.47,60.19,71.41
754,Southern Region,Tamil Nadu,Central Sector,KUDANKULAM,NA,2000,12071,1138,1452.62,1464.75,127.65,99.17,7309,7569.85,7117.96,103.57,106.35,76.48,97.62,98.44,71.15,73.69,69.29
755,Southern Region,Tamil Nadu,Central Sector,MADRAS A.P.S.,NA,440,1459,108,150.38,153.92,139.24,97.7,843,767.12,995.45,91,77.06,32.99,45.94,47.02,37.3,33.95,44.05
756,Southern Region,Tamil Nadu,Central Sector,NPCIL,Nuclear,2440,13530,1246,1603,1618.67,128.65,99.03,8152,8336.97,8113.41,102.27,102.76,68.64,88.3,89.17,65.05,66.53,64.74
757,Southern Region,Tamil Nadu,Central Sector,Central,Nuclear,2440,13530,1246,1603,1618.67,128.65,99.03,8152,8336.97,8113.41,102.27,102.76,68.64,88.3,89.17,65.05,66.53,64.74
758,Southern Region,Tamil Nadu,Central Sector,Total,Thermal,13896.7,73550,4208,6415.44,4907.78,152.46,130.72,42546,41999.09,38352.81,98.71,109.51,39.05,63.01,48.2,57.19,59.75,54.57
759,Southern Region,Tamil Nadu,Central Sector,Total,Nuclear,2440,13530,1246,1603,1618.67,128.65,99.03,8152,8336.97,8113.41,102.27,102.76,68.64,88.3,89.17,65.05,66.53,64.74
760,Southern Region,Tamil Nadu,Central Sector,Total,Natural Gas,1017.18,2200,171,161.87,169.21,94.66,95.66,1270,1174.3,1157.34,92.46,101.47,NA,NA,NA,NA,NA,NA
761,Southern Region,Tamil Nadu,Central Sector,Total,Hydro,2178.2,4220,515,388.63,580.07,75.46,67,2529,2335.28,3603.4,92.34,64.81,NA,NA,NA,NA,NA,NA
762,Southern Region,Tamil Nadu,Central Sector,Total,Tamil Nadu,19532.08,93500,6140,8568.94,7275.73,139.56,117.77,54497,53845.64,51226.96,98.8,105.11,NA,NA,NA,NA,NA,NA
763,Southern Region,Telangana,State Sector,SINGARENI TPP,NA,1200,9000,686,878.01,818.83,127.99,107.23,5215,5310.82,5555.51,101.84,95.6,76.84,98.34,91.71,84.62,86.17,90.14
764,Southern Region,Telangana,State Sector,SCCL,Coal,1200,9000,686,878.01,818.83,127.99,107.23,5215,5310.82,5555.51,101.84,95.6,76.84,98.34,91.71,84.62,86.17,90.14
765,Southern Region,Telangana,State Sector,BHADRADRI TPP,NA,1080,6500,500,590.14,562.06,118.03,105,3830,3751.68,3260.16,97.96,115.08,62.23,73.44,69.95,69.05,67.64,58.77
766,Southern Region,Telangana,State Sector,KAKATIYA TPS,NA,1100,7700,666,676.95,667.8,101.64,101.37,4823,4729.81,4132.92,98.07,114.44,81.38,82.72,81.6,85.37,83.72,73.15
767,Southern Region,Telangana,State Sector,KOTHAGUDEM TPS (NEW),NA,1000,7400,529,625.88,548.38,118.31,114.13,4219,4171.28,4080.19,98.87,102.23,71.1,84.12,73.71,82.15,81.22,79.44
768,Southern Region,Telangana,State Sector,KOTHAGUDEM TPS (STAGE-7),NA,800,6000,457,561.98,392.2,122.97,143.29,3465,3661.27,1944.7,105.66,188.27,76.78,94.42,65.89,84.33,89.11,47.33
769,Southern Region,Telangana,State Sector,RAMAGUNDEM-B TPS,NA,62.5,420,33,2.49,7.43,7.55,33.51,234,141.2,171.39,60.34,82.39,70.97,5.35,15.98,72.9,43.99,53.39
770,Southern Region,Telangana,State Sector,YADADRI TPS,NA,0,4700,495,0,0,0,0,1422,0,0,0,0,0,0,0,0,0,0
771,Southern Region,Telangana,State Sector,TSGENCO,Coal,4042.5,32720,2680,2457.44,2177.87,91.7,112.84,17993,16455.24,13589.36,91.45,121.09,72.65,81.71,72.41,79.81,79.26,65.45
772,Southern Region,Telangana,State Sector,State Sector,Thermal,5242.5,41720,3366,3335.45,2996.7,99.09,111.3,23208,21766.06,19144.87,93.79,113.69,73.61,85.52,76.83,80.91,80.84,71.1
773,Southern Region,Telangana,State Sector,LOWER JURALA HPS,NA,240,320,65,5.14,115.79,7.91,4.44,255,110.81,395.89,43.45,27.99,NA,NA,NA,NA,NA,NA
774,Southern Region,Telangana,State Sector,NAGARJUN SGR HPS,NA,815.6,1400,300,39.82,596.5,13.27,6.68,1154,319.74,1835.62,27.71,17.42,NA,NA,NA,NA,NA,NA
775,Southern Region,Telangana,State Sector,NAGARJUN SGR LBC HPS,NA,60,69,16,0,24.4,0,0,40,0,62.93,0,0,NA,NA,NA,NA,NA,NA
776,Southern Region,Telangana,State Sector,POCHAMPAD HPS,NA,36,60,10,13.81,25.88,138.1,53.36,32,49.68,92.65,155.25,53.62,NA,NA,NA,NA,NA,NA
777,Southern Region,Telangana,State Sector,PRIYADARSHNI JURALA HPS,NA,234,320,60,3.84,121.31,6.4,3.17,260,101.15,423.47,38.9,23.89,NA,NA,NA,NA,NA,NA
778,Southern Region,Telangana,State Sector,PULICHINTALA HPS,NA,120,200,30,17.9,51.75,59.67,34.59,135,86.78,200.96,64.28,43.18,NA,NA,NA,NA,NA,NA
779,Southern Region,Telangana,State Sector,SRISAILAM LB HPS,NA,900,1600,250,79.49,508.81,31.8,15.62,1197,253.1,1774.59,21.14,14.26,NA,NA,NA,NA,NA,NA
780,Southern Region,Telangana,State Sector,TSGENCO,Hydro,2405.6,3969,731,160,1444.44,21.89,11.08,3073,921.26,4786.11,29.98,19.25,NA,NA,NA,NA,NA,NA
781,Southern Region,Telangana,State Sector,State Sector,Hydro,2405.6,3969,731,160,1444.44,21.89,11.08,3073,921.26,4786.11,29.98,19.25,NA,NA,NA,NA,NA,NA
782,Southern Region,Telangana,Central Sector,RAMAGUNDEM STPS,NA,2600,20150,1583,1250.08,1098.91,78.97,113.76,12026,9697.49,9181.42,80.64,105.62,81.83,64.62,56.81,90.06,72.62,68.76
783,Southern Region,Telangana,Central Sector,TELANGANA STPP PH-1,NA,800,7000,615,506.82,0,82.41,0,3698,506.82,0,13.71,0,52.92,85.15,0,60.8,43.27,0
784,Southern Region,Telangana,Central Sector,NTPC Ltd.,Coal,3400,27150,2198,1756.9,1098.91,79.93,159.88,15724,10204.31,9181.42,64.9,111.14,75.03,69.45,56.81,83.17,70.25,68.76
785,Southern Region,Telangana,Central Sector,Central,Thermal,3400,27150,2198,1756.9,1098.91,79.93,159.88,15724,10204.31,9181.42,64.9,111.14,75.03,69.45,56.81,83.17,70.25,68.76
786,Southern Region,Telangana,Central Sector,Total,Thermal,8642.5,68870,5564,5092.35,4095.61,91.52,124.34,38932,31970.37,28326.29,82.12,112.86,74.17,79.2,70.19,81.8,77.13,70.33
787,Southern Region,Telangana,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
788,Southern Region,Telangana,Central Sector,Total,Hydro,2405.6,3969,731,160,1444.44,21.89,11.08,3073,921.26,4786.11,29.98,19.25,NA,NA,NA,NA,NA,NA
789,Southern Region,Telangana,Central Sector,Total,Telangana,11048.1,72839,6295,5252.35,5540.05,83.44,94.81,42005,32891.63,33112.4,78.3,99.33,NA,NA,NA,NA,NA,NA
790,Eastern Region,Andaman and Nicobar Islands,State Sector,Andaman and Nicobar DG,NA,57.52,69,5,6.61,6.82,132.2,96.92,41,52.54,63.13,128.15,83.23,NA,NA,NA,NA,NA,NA
791,Eastern Region,Andaman and Nicobar Islands,State Sector,Andaman and Nicobar ADM,Diesel,57.52,69,5,6.61,6.82,132.2,96.92,41,52.54,63.13,128.15,83.23,NA,NA,NA,NA,NA,NA
792,Eastern Region,Andaman and Nicobar Islands,State Sector,State Sector,Thermal,57.52,69,5,6.61,6.82,132.2,96.92,41,52.54,63.13,128.15,83.23,NA,NA,NA,NA,NA,NA
793,Eastern Region,Andaman and Nicobar Islands,Pvt Sector,Andaman and Nicobar Pvt. DG,NA,35.19,41,3,20.81,19.39,693.67,107.32,24,142.73,19.39,594.71,736.1,NA,NA,NA,NA,NA,NA
794,Eastern Region,Andaman and Nicobar Islands,Pvt Sector,Andaman and Nicobar ADM,Diesel,35.19,41,3,20.81,19.39,693.67,107.32,24,142.73,19.39,594.71,736.1,NA,NA,NA,NA,NA,NA
795,Eastern Region,Andaman and Nicobar Islands,Pvt Sector,Pvt Sector,Thermal,35.19,41,3,20.81,19.39,693.67,107.32,24,142.73,19.39,594.71,736.1,NA,NA,NA,NA,NA,NA
796,Eastern Region,Andaman and Nicobar Islands,Pvt Sector,Total,Thermal,92.71,110,8,27.42,26.21,342.75,104.62,65,195.27,82.52,300.42,236.63,NA,NA,NA,NA,NA,NA
797,Eastern Region,Andaman and Nicobar Islands,Pvt Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
798,Eastern Region,Andaman and Nicobar Islands,Pvt Sector,Total,Andaman and Nicobar Islands,92.71,110,8,27.42,26.21,342.75,104.62,65,195.27,82.52,300.42,236.63,NA,NA,NA,NA,NA,NA
799,Eastern Region,Bihar,Central Sector,NABINAGAR TPP,NA,1000,6700,529,675.58,564.34,127.71,119.71,3902,4021,4015.08,103.05,100.15,71.1,90.8,75.85,75.97,78.29,78.18
800,Eastern Region,Bihar,Central Sector,BRBCL,Coal,1000,6700,529,675.58,564.34,127.71,119.71,3902,4021,4015.08,103.05,100.15,71.1,90.8,75.85,75.97,78.29,78.18
801,Eastern Region,Bihar,Central Sector,MUZAFFARPUR TPS,NA,390,3000,254,262.62,254.73,103.39,103.1,1672,1782.28,1644.75,106.6,108.36,87.54,90.51,87.79,83.47,88.98,82.11
802,Eastern Region,Bihar,Central Sector,K.B.U.N.L,Coal,390,3000,254,262.62,254.73,103.39,103.1,1672,1782.28,1644.75,106.6,108.36,87.54,90.51,87.79,83.47,88.98,82.11
803,Eastern Region,Bihar,Central Sector,NABINAGAR STPP,NA,1980,14200,1210,1183.83,1151.43,97.84,102.81,7795,9053.05,7429.13,116.14,121.86,82.14,80.36,78.16,76.65,89.02,80
804,Eastern Region,Bihar,Central Sector,NPGCL,Coal,1980,14200,1210,1183.83,1151.43,97.84,102.81,7795,9053.05,7429.13,116.14,121.86,82.14,80.36,78.16,76.65,89.02,80
805,Eastern Region,Bihar,Central Sector,BARAUNI TPS,NA,710,3300,260,289.35,291.84,111.29,99.15,1998,1820.32,2006.02,91.11,90.74,49.22,54.78,55.25,54.79,49.92,55.01
806,Eastern Region,Bihar,Central Sector,BARH STPS,NA,2640,17860,1354,1085.42,782.24,80.16,138.76,11051,8389.63,7674.12,75.92,109.32,68.94,55.26,53.1,81.5,69.24,75.46
807,Eastern Region,Bihar,Central Sector,KAHALGAON TPS,NA,2340,17850,1639,1331.23,1062.46,81.22,125.3,11158,9425.26,9237.34,84.47,102.03,94.14,76.47,61.03,92.84,78.42,76.86
808,Eastern Region,Bihar,Central Sector,NTPC Ltd.,Coal,5690,39010,3253,2706,2136.54,83.18,126.65,24207,19635.21,18917.48,81.11,103.79,76.84,63.92,57.09,82.83,70.67,73.23
809,Eastern Region,Bihar,Central Sector,BUXAR TPP,NA,0,2000,165,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0
810,Eastern Region,Bihar,Central Sector,SJVNL,Coal,0,2000,165,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0
811,Eastern Region,Bihar,Central Sector,Central,Thermal,9060,64910,5411,4828.03,4107.04,89.23,117.55,38226,34491.54,32006.44,90.23,107.76,77.83,71.63,65.72,80.75,76.49,75.73
812,Eastern Region,Bihar,Central Sector,Total,Thermal,9060,64910,5411,4828.03,4107.04,89.23,117.55,38226,34491.54,32006.44,90.23,107.76,77.83,71.63,65.72,80.75,76.49,75.73
813,Eastern Region,Bihar,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
814,Eastern Region,Bihar,Central Sector,Total,Bihar,9060,64910,5411,4828.03,4107.04,89.23,117.55,38226,34491.54,32006.44,90.23,107.76,NA,NA,NA,NA,NA,NA
815,Eastern Region,Jharkhand,State Sector,TENUGHAT TPS,NA,420,2300,179,230.17,218,128.59,105.58,1297,1231.87,1523.1,94.98,80.88,57.28,73.66,69.76,60.13,57.11,70.61
816,Eastern Region,Jharkhand,State Sector,TVNL,Coal,420,2300,179,230.17,218,128.59,105.58,1297,1231.87,1523.1,94.98,80.88,57.28,73.66,69.76,60.13,57.11,70.61
817,Eastern Region,Jharkhand,State Sector,State Sector,Thermal,420,2300,179,230.17,218,128.59,105.58,1297,1231.87,1523.1,94.98,80.88,57.28,73.66,69.76,60.13,57.11,70.61
818,Eastern Region,Jharkhand,State Sector,SUBERNREKHA-I HPS,NA,65,55,7,21.82,33.64,311.71,64.86,41,32.45,85.45,79.15,37.98,NA,NA,NA,NA,NA,NA
819,Eastern Region,Jharkhand,State Sector,SUBERNREKHA-II HPS,NA,65,55,7,20.8,30.01,297.14,69.31,41,31.15,69.4,75.98,44.88,NA,NA,NA,NA,NA,NA
820,Eastern Region,Jharkhand,State Sector,JUUNL,Hydro,130,110,14,42.62,63.65,304.43,66.96,82,63.6,154.85,77.56,41.07,NA,NA,NA,NA,NA,NA
821,Eastern Region,Jharkhand,State Sector,State Sector,Hydro,130,110,14,42.62,63.65,304.43,66.96,82,63.6,154.85,77.56,41.07,NA,NA,NA,NA,NA,NA
822,Eastern Region,Jharkhand,Pvt Sector,MAHADEV PRASAD STPP,NA,540,3700,287,383.73,253.12,133.7,151.6,2098,2100.11,2162,100.1,97.14,71.44,95.51,63,75.65,75.72,77.95
823,Eastern Region,Jharkhand,Pvt Sector,ADHUNIK,Coal,540,3700,287,383.73,253.12,133.7,151.6,2098,2100.11,2162,100.1,97.14,71.44,95.51,63,75.65,75.72,77.95
824,Eastern Region,Jharkhand,Pvt Sector,MAITRISHI USHA TPS,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,Eastern Region,Jharkhand,Pvt Sector,CPL,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,Eastern Region,Jharkhand,Pvt Sector,MAITHON RB TPP,NA,1050,7400,595,670.81,639.98,112.74,104.82,4531,4720.1,4674.24,104.17,100.98,76.16,85.87,81.92,84.02,87.53,86.68
827,Eastern Region,Jharkhand,Pvt Sector,MPL,Coal,1050,7400,595,670.81,639.98,112.74,104.82,4531,4720.1,4674.24,104.17,100.98,76.16,85.87,81.92,84.02,87.53,86.68
