Sl. No.,Regions,State,Sector Category,Category,Stations,Monitored Capacity (MW) - Col (1),Target April 2023 to Mach 2024 - Col (2),July` 2023 - Program - Col (3),July` 2023 - Actual - Col (4),July` 2023 - Actual Same Month 2022-23 - Col (5),July` 2023 - % of Program Col. (4/3) - Col (6),July` 2023 - % of Last Year Col. (4/5) - Col (7),April` 2023 to July` 2023 - Program - Col (8),April` 2023 to July` 2023 - Actual - Col (9),April` 2023 to July` 2023 - Actual Same Period 2022-23 - Col (10),April` 2023 to July` 2023 - % of Program Col. (9/8) - Col (11),April` 2023 to July` 2023 - % of Last Year Col. (9/10) - Col (12),Plant Load Factor (%) - July` 2023 - Program - Col (13),Plant Load Factor (%) - July` 2023 - Actual - Col (14),Plant Load Factor (%) - July` 2023 - Actual Same Month 2022-23 - Col (15),Plant Load Factor (%) - April` 2023 to July` 2023 - Program - Col (16),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual - Col (17),Plant Load Factor (%) - April` 2023 to July` 2023 - Actual Same Peroid 2022-23 - Col (18)
99,Northern Region,Jammu and Kashmir,Central Sector,Central,Hydro,2250,12433,1580,1500.95,1561.77,95,96.11,5940,5639.33,5799.36,94.94,97.24,NA,NA,NA,NA,NA,NA
100,Northern Region,Jammu and Kashmir,Central Sector,Total,Natural Gas,175,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
101,Northern Region,Jammu and Kashmir,Central Sector,Total,Hydro,3360,17984,2458,2220.03,2340.55,90.32,94.85,8840,7992.11,8283.51,90.41,96.48,NA,NA,NA,NA,NA,NA
102,Northern Region,Jammu and Kashmir,Central Sector,Total,Jammu and Kashmir,3535,17984,2458,2220.03,2340.55,90.32,94.85,8840,7992.11,8283.51,90.41,96.48,NA,NA,NA,NA,NA,NA
103,Northern Region,Ladakh,Central Sector,CHUTAK HPS,NA,44,204,31,32.53,31.62,104.94,102.88,91,67.07,78.7,73.7,85.22,NA,NA,NA,NA,NA,NA
104,Northern Region,Ladakh,Central Sector,NIMMO BAZGO HPS,NA,45,226,32,33.18,33.17,103.69,100.03,94,83.73,94.73,89.07,88.39,NA,NA,NA,NA,NA,NA
105,Northern Region,Ladakh,Central Sector,NHPC,Hydro,89,430,63,65.71,64.79,104.3,101.42,185,150.8,173.43,81.51,86.95,NA,NA,NA,NA,NA,NA
106,Northern Region,Ladakh,Central Sector,Central,Hydro,89,430,63,65.71,64.79,104.3,101.42,185,150.8,173.43,81.51,86.95,NA,NA,NA,NA,NA,NA
107,Northern Region,Ladakh,Central Sector,Total,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
108,Northern Region,Ladakh,Central Sector,Total,Hydro,89,430,63,65.71,64.79,104.3,101.42,185,150.8,173.43,81.51,86.95,NA,NA,NA,NA,NA,NA
109,Northern Region,Ladakh,Central Sector,Total,Ladakh,89,430,63,65.71,64.79,104.3,101.42,185,150.8,173.43,81.51,86.95,NA,NA,NA,NA,NA,NA
110,Northern Region,Punjab,State Sector,GH TPS (LEH. MOH.),NA,920,3150,262,387.89,182.9,148.05,212.08,1225,1343.61,1296.71,109.68,103.62,38.28,56.67,26.72,45.48,49.88,48.14
111,Northern Region,Punjab,State Sector,ROPAR TPS,NA,840,3200,246,310.53,281.15,126.23,110.45,1207,1169.84,1357.19,96.92,86.2,39.36,49.69,44.99,49.07,47.56,55.18
112,Northern Region,Punjab,State Sector,PSPCL,Coal,1760,6350,508,698.42,464.05,137.48,150.51,2432,2513.45,2653.9,103.35,94.71,38.8,53.34,35.44,47.19,48.77,51.5
113,Northern Region,Punjab,State Sector,State Sector,Thermal,1760,6350,508,698.42,464.05,137.48,150.51,2432,2513.45,2653.9,103.35,94.71,38.8,53.34,35.44,47.19,48.77,51.5
114,Northern Region,Punjab,State Sector,ANANDPUR SAHIB-I HPS,NA,67,265,36,39.86,30.54,110.72,130.52,123,78.21,83.25,63.59,93.95,NA,NA,NA,NA,NA,NA
